time,open,high,low,close,Volume,K,D
2018-04-16,8353.43,8424.99,7905,8048.15,10866.60295749,94.05309800568897,97.67296181305964
2018-04-17,8054.68,8160.85,7806.81,7890.87,9277.15121538,85.19563443827207,92.91054205356868
2018-04-18,7890.87,8235,7870.35,8172.84,9227.20459808,80.96973581912665,86.73948942102923
2018-04-19,8172.83,8297.99,8074.44,8271.31,9436.84632763,84.26081213461275,83.4753941306705
2018-04-20,8273,8934,8216.9,8861,16059.62267134,93.11827570202963,86.11627455192301
2018-04-21,8865.78,9023.4,8608,8920.71,15336.30792743,97.34417432117505,91.57442071927248
2018-04-22,8924.93,9036.52,8760,8789.96,9346.45175925,97.10615542160092,95.8562018149352
2018-04-23,8781.7,9006.39,8771.22,8946.95,10286.1177149,96.35864555644378,96.93632509973992
2018-04-24,8942,9737.16,8930,9648,20460.50898304,96.35864555644378,96.60781551149616
2018-04-25,9648.36,9755.53,8751,8864.99,33035.90404482,76.30315323418142,89.67348144902299
2018-04-26,8855.07,9326.79,8647.29,9274.48,20042.96970211,61.305687960692865,77.98916225043935
2018-04-27,9277.32,9387.82,8901.09,8921.43,11375.51437547,36.691419475371866,58.10008689008205
2018-04-28,8916.54,9442.34,8854.47,9345.11,15558.40230193,42.434308728334564,46.81047205479978
2018-04-29,9352.97,9538.75,9180,9393.99,10940.71803063,41.80061551819117,40.30878124063255
2018-04-30,9396.32,9443.96,9111,9242.17,8085.68829456,45.92824956244166,43.387724602989145
2018-05-01,9243.51,9249.99,8815.91,9066.9,12138.2639605,31.62868846595998,39.78585118219761
2018-05-02,9066.9,9259.16,8975.23,9222,10575.17497792,18.935872442998903,32.16427015713352
2018-05-03,9220,9799.99,9165.19,9732.43,11670.79957863,23.099354312104467,24.554638407021127
2018-05-04,9737,9784.73,9527.38,9696.57,7326.05207111,36.851395750849534,26.29554083531765
2018-05-05,9689,9948.98,9670.68,9823.28,7403.10502352,51.30407988201869,37.08494331499091
2018-05-06,9827.04,9918.41,9375,9623.54,8155.5768566,44.46503085184637,44.20683549490488
2018-05-07,9621.99,9634.5,9175,9359.52,13616.3485933,28.88566482394837,41.55159185260449
2018-05-08,9356.79,9450,9015,9167.69,11418.31053651,10.171131731196043,27.84060913566361
2018-05-09,9181.52,9368.79,8974.62,9308.49,11368.83432539,5.8719449814893645,14.976247178877939
2018-05-10,9308.49,9393,8987.74,9020.99,11764.9775057,5.871944981489363,7.3050072313916
2018-05-11,9007.19,9018.38,8351,8411.42,20383.92660992,5.871944981489363,5.871944981489373
2018-05-12,8408.79,8652.8,8208.81,8481.6,15464.92940302,1.7195485956231877,4.487812852867314
2018-05-13,8481.72,8775.9,8335.56,8696.58,9835.22450915,8.67623014441538,5.4225745738426525
2018-05-14,8696.54,8900.9,8286.57,8674.36,18851.34139363,15.149618292955447,8.515132344331347
2018-05-15,8674.53,8865,8400,8474.99,12391.83198691,15.538703757992863,13.121517398454571
2018-05-16,8481.99,8505.33,8100.01,8346.59,12705.12321984,8.582022209200671,13.090114753383004
2018-05-17,8337.77,8500,7980,8067.03,8259.12452442,2.108634060660602,8.743120009284722
2018-05-18,8058.16,8275.1,7929.53,8248.87,7181.20388348,4.566365439102726,5.08567390298801
2018-05-19,8248.99,8395,8141.08,8231.2,3784.07576637,9.47937196211879,5.3847904872940395
2018-05-20,8225.55,8590,8170.71,8518.48,5314.99889979,25.947092540424503,13.330943313882008
2018-05-21,8518.64,8589.1,8320,8391.76,6126.97105348,34.866184805124256,23.43088310255585
2018-05-22,8403.23,8417.65,7951.41,7984.08,9101.06078693,31.657213252687395,30.823496866078717
2018-05-23,7983.98,8032.01,7435.49,7502.89,17635.90129337,15.18949267438168,27.237630244064444
2018-05-24,7509.99,7733.99,7267.24,7586.88,11646.55392876,5.946616830214144,17.59777425242774
2018-05-25,7579.3,7661.07,7328.13,7471.18,10088.84331121,5.212268281808814,8.782792595468212
