time,open,high,low,close,Volume,K,D
2015-04-28,18035.9,18119.65,17917.36,18110.14,NaN,74.36674440335713,71.43663788106026
2015-04-29,18093.69,18096.46,17953.69,18035.53,NaN,67.1286409843131,70.30112851787202
2015-04-30,18033.33,18033.33,17774.89,17840.52,NaN,46.83355433461066,62.77631324076032
2015-05-01,17859.27,18028.89,17859.27,18024.06,NaN,37.31995779357757,50.4273843708338
2015-05-04,18026.02,18133.76,18026.02,18070.4,NaN,42.133463233485756,42.09565845389135
2015-05-05,18062.53,18086.01,17905.71,17928.2,NaN,51.26177973829511,43.571733588452844
2015-05-06,17934.81,18019.75,17733.12,17841.98,NaN,33.480783821072855,42.29200893095126
2015-05-07,17840.25,17973.07,17796.94,17924.06,NaN,21.398045947419092,35.38020316892905
2015-05-08,17933.64,18205.23,17933.64,18191.11,NaN,45.603062775943066,33.49396418147836
2015-05-11,18187.78,18199.95,18089.11,18105.17,NaN,69.22903202928951,45.41004691755058
2015-05-12,18096.16,18119.18,17924.8,18068.23,NaN,79.13709244931486,64.65639575151584
2015-05-13,18070.37,18132.79,18039.2,18060.49,NaN,66.06964169496045,71.47858872452164
2015-05-14,18062.49,18255.21,18062.49,18252.24,NaN,74.66750601801236,73.29141338742926
2015-05-15,18251.97,18272.72,18215.07,18272.56,NaN,86.93254924564557,75.88989898620615
2015-05-18,18267.25,18325.54,18244.26,18298.88,NaN,99.99999999999999,87.20001842121933
2015-05-19,18300.48,18351.36,18261.35,18312.39,NaN,99.99999999999999,95.64418308188186
2015-05-20,18315.06,18350.13,18272.56,18285.4,NaN,96.95017068221007,98.98339022740338
2015-05-21,18285.87,18314.89,18249.9,18285.74,NaN,93.928477807839,96.95954949668305
2015-05-22,18286.87,18286.87,18217.14,18232.02,NaN,84.37375678368151,91.75080175791022
2015-05-26,18229.75,18229.75,17990.02,18041.54,NaN,57.984900827762424,78.76237847309434
2015-05-27,18045.08,18190.35,18045.08,18162.99,NaN,40.847136907527606,61.06859817299054
2015-05-28,18154.14,18154.14,18066.4,18126.12,NaN,26.128241161901613,41.653426299063916
2015-05-29,18128.12,18128.12,17967.74,18010.68,NaN,22.233593102277283,29.7363237239022
2015-06-01,18017.82,18105.83,17982.06,18040.37,NaN,12.272725902798621,20.211520055659204
2015-06-02,18033.33,18091.87,17925.33,18011.94,NaN,3.619125166407406,12.70848139049447
2015-06-03,18018.42,18168.09,18010.42,18076.27,NaN,11.396221884427193,9.096024317877776
2015-06-04,18072.47,18087.15,17876.95,17905.58,NaN,8.183212545178419,7.732853198671042
2015-06-05,17905.38,17940.78,17822.9,17849.46,NaN,7.777096718019791,9.11884371587517
2015-06-08,17849.46,17852.35,17760.61,17766.55,NaN,0,5.320103087732773
2015-06-09,17766.95,17817.83,17714.97,17764.04,NaN,0,2.5923655726732995
2015-06-10,17765.38,18045.14,17765.38,18000.4,NaN,18.399132286950024,6.133044095650043
2015-06-11,18001.27,18109.77,18001.27,18039.37,NaN,42.60613422678748,20.335088837912537
2015-06-12,18035.83,18035.83,17857.07,17898.84,NaN,60.12876698533186,40.378011166356494
2015-06-15,17890.76,17890.76,17698.42,17791.17,NaN,50.83119018787633,51.188697133331935
2015-06-16,17787.43,17919.62,17774.12,17904.48,NaN,49.27920914793942,53.41305544038257
2015-06-17,17909.58,17998,17839.65,17935.74,NaN,57.73106052201543,52.613819952610434
2015-06-18,17944.61,18174.73,17944.61,18115.84,NaN,81.96283836585427,62.99103601193641
2015-06-19,18116.24,18117.71,18010.58,18015.95,NaN,84.90646150052027,74.86678679613003
2015-06-22,18027.63,18181.67,18027.63,18119.78,NaN,91.68551600227032,86.18493862288165
2015-06-23,18121.78,18188.81,18108.1,18144.07,NaN,91.68551600227032,89.42583116835367
2015-06-24,18139.1,18139.1,17966.07,17966.07,NaN,86.1964831089884,89.85583837117638
2015-06-25,17977.11,18036.1,17890.36,17890.36,NaN,68.59753323151833,82.15984411425904
2015-06-26,17892.03,18013.15,17892.03,17946.68,NaN,54.72401389380531,69.83934341143738
2015-06-29,17936.74,17936.74,17590.55,17596.35,NaN,34.614402752520675,52.64531662594813
2015-06-30,17599.96,17714.66,17576.5,17619.51,NaN,21.26095192986107,36.86645619206238
2015-07-01,17638.12,17801.83,17638.12,17757.91,NaN,13.950988362985674,23.27544768178917
2015-07-02,17763.32,17825.49,17687.52,17730.11,NaN,24.55513279218847,19.922357695011737
2015-07-06,17728.08,17734.36,17564.36,17683.58,NaN,30.72037864702745,23.075499934067196
2015-07-07,17684.92,17793.45,17465.68,17776.91,NaN,33.79582227496676,29.690444571394224
